my_publication,DOI,DOI Source
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,10.5194/acp-23-5969-2023,OpenAlex
Assessing formic and acetic acid emissions and chemistry in western U.S. wildfire smoke: implications for atmospheric modeling,10.1039/d3ea00098b,OpenAlex
"Key results from the salt lake regional smoke, ozone, and aerosol study (SAMOZA)",10.1080/10962247.2024.2301956,OpenAlex
Atmospheric OH reactivity in the western United States determined from comprehensive gas-phase measurements during WE-CAN,10.1039/d2ea00063f,OpenAlex
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,10.5194/egusphere-2022-1107,OpenAlex
"Sources of Atmospheric Volatile Organic Compounds During the Salt Lake Regional Smoke, Ozone and Aerosol Study (SAMOZA) 2022",10.1029/2024jd041640,OpenAlex
Comment on egusphere-2022-1107,10.5194/egusphere-2022-1107-rc2,OpenAlex
Comment on egusphere-2022-1107,10.5194/egusphere-2022-1107-ac1,OpenAlex
"Author response for ""Atmospheric OH reactivity in the western United States determined from comprehensive gas-phase measurements during WE-CAN""",10.1039/d2ea00063f/v2/response1,OpenAlex
"Author response for ""Atmospheric OH reactivity in the western United States determined from comprehensive gas-phase measurements during WE-CAN""",10.1039/d2ea00063f/v3/response1,OpenAlex
"Author response for ""Assessing formic and acetic acid emissions and chemistry in western US wildfire smoke: implications for atmospheric modeling""",10.1039/d3ea00098b/v2/response1,OpenAlex
"Missoula 2020 wildfire air quality observations and model simulations supporting: Characterizing emissions, chemistry, and health impacts of aged wildfire smoke in a western US city",10.5281/zenodo.18209324,OpenAlex
"Missoula 2020 wildfire air quality observations and model simulations supporting: Characterizing emissions, chemistry, and health impacts of aged wildfire smoke in a western US city",10.5281/zenodo.18209325,OpenAlex
"Processed data for ""Ozone photochemistry in fresh biomass burning smoke over the United States""",10.5281/zenodo.18226363,OpenAlex
"Processed data for ""Ozone photochemistry in fresh biomass burning smoke over the United States""",10.5281/zenodo.18226362,OpenAlex
