my_publication,cited_by_title,cited_by_author,cited_by_institution,cited_by_country
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Georgios I. Gkatzelis,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Georgios I. Gkatzelis,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Georgios I. Gkatzelis,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Georgios I. Gkatzelis,Forschungszentrum Jülich,DE
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Matthew M. Coggon,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Chelsea E. Stockwell,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Chelsea E. Stockwell,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Chelsea E. Stockwell,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Rebecca S. Hornbrook,NSF National Center for Atmospheric Research,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Rebecca S. Hornbrook,Atmospheric Chemistry Observations & Modeling,
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Hannah M. Allen,California Institute of Technology,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Eric C. Apel,NSF National Center for Atmospheric Research,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Eric C. Apel,Atmospheric Chemistry Observations & Modeling,
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,M. M. Bela,Sustainability Institute,ZA
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,M. M. Bela,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,M. M. Bela,Google (United States),US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,M. M. Bela,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,M. M. Bela,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,D. R. Blake,"University of California, Irvine",US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Ilann Bourgeois,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Ilann Bourgeois,NOAA Chemical Sciences Laboratory,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Ilann Bourgeois,Cooperative Institute for Research in Environmental Sciences,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Ilann Bourgeois,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",FR
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Ilann Bourgeois,Université Savoie Mont Blanc,FR
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Steven S. Brown,University of Colorado Boulder,US
Constraining emissions of volatile organic compounds from western US wildfires with WE-CAN and FIREX-AQ airborne observations,Parameterizations of US wildfire and prescribed fire emission ratios and emission factors based on FIREX-AQ aircraft measurements,Steven S. Brown,NOAA Chemical Sciences Laboratory,US
